GISJOIN,YEAR,STATE,STATEA,AREANAME,AWM001,AWM002,AWM003,AWM004,AWM005,AWM006,AWM007,AWM008,AWM009,AWM010,AWM011,AWM012,AWM013,AWM014,AWM015,AWM016,AWM017,AWM018,AWM019,AWM020,AWM021,AWM022,AWM023,AWM024,AWM025,AWM026,AWM027,AWM028,AWM029,AWM030,AWM031,AWM032,AWM033,AWM034,AWM035,AWM036,AWM037,AWM038,AWM039,AWM040,AWM041,AWM042,AWM043,AWM044,AWM045,AWM046,AWM047,AWM048,AWM049,AWM050,AWM051,AWM052,AWM053,AWM054,AWM055,AWM056,AWM057,AWM058,AWM059,AWM060,AWM061,AWM062,AWM063,AWM064,AWM065,AWM066,AWM067,AWM068,AWM069,AWM070,AWM071,AWM072,AWM073,AWM074,AWM075,AWM076,AWM077,AWM078,AWM079,AWM080,AWM081,AWM082,AWM083,AWM084,AWM085,AWM086,AWM087,AWM088,AWM089,AWM090,AWM091,AWM092,AWM093,AWM094,AWM095,AWM096,AWM097,AWM098,AWM099,AWM100,AWM101,AWM102,AWM103,AWM104,AWM105,AWM106,AWM107,AWM108,AWN001,AWN002,AWN003,AWN004,AWN005,AWN006,AWN007,AWN008,AWN009,AWN010,AWN011,AWN012,AWN013,AWN014,AWN015,AWN016,AWN017,AWN018,AWN019,AWN020,AWN021,AWN022,AWN023,AWN024,AWN025,AWN026,AWN027,AWN028,AWN029,AWN030,AWN031,AWN032,AWN033,AWN034,AWN035,AWN036,AWN037,AWN038,AWN039,AWN040,AWN041,AWN042,AWN043,AWN044,AWN045,AWN046,AWN047,AWN048,AWN049,AWN050,AWN051,AWN052,AWN053,AWN054
"G010","1890","Alabama","010","Alabama",242,106,171,415,37,247,1358,216,1430,52,519,60,3786,153,7789,15178,70484,3000,2583,1370,937,420,162,75,210,561,21,11,39,103,2791,19613,646710,8917,1209,1484,32,0,942,3,4,20,7,2,1,3,3,6,16,71,2,2841,0,9,23,13,23,108,18,43,686,100,820,13,166,20,221,44,182,396,835,144,1075,323,402,131,103,47,112,162,9,2,9,86,461,680,14138,344,529,95,7,0,27,0,1,5,8,0,1,2,0,0,3,25,1,43,5,2,5,1,10,20,0,8,42,11,68,15,798,119,11995,33,7520,8781,24556,825,106,48,35,10,2,9,2,138,1,0,0,2,731,4892,607058,5748,548,243,6,0,125,1,0,2,7,319,0,0,0,6,5,11,0,4260,2,2
"G045","1890","Arizona Territory","045","Arizona Territory",318,103,123,300,26,85,1170,134,738,19,123,33,315,63,141,50,200,19,970,566,1040,258,207,62,540,1496,7,3,50,375,514,441,245,190,115,1428,37,1,424,18,20,153,977,5786,1787,126,106,30,136,1827,0,186,0,9,46,8,23,144,9,18,566,57,234,6,36,11,29,4,9,9,10,4,236,81,270,125,122,20,72,231,9,3,25,68,50,27,10,13,44,179,3,0,10,8,25,47,283,8383,1048,123,62,12,28,1144,1,33,2,7,3,1,0,3,1,2,19,10,51,5,149,27,240,2,41,58,46,7,28,14,18,3,2,2,5,54,0,0,2,7,136,111,24,18,25,75,18,0,7,0,0,0,14,1297,1,2,0,0,0,171,0,9,0,0
"G050","1890","Arkansas","050","Arkansas",256,120,202,304,35,127,2196,296,2755,53,460,55,5180,442,12725,8171,25521,235,7620,12573,18378,1279,598,303,2853,34251,41,41,494,3978,19005,71283,30442,27050,5359,10970,1094,1,467095,20,12,121,22,3,13,21,27,15,55,224,2,6556,1,17,18,10,28,122,27,40,816,83,640,5,95,11,162,22,175,221,195,24,1349,914,1812,440,333,93,335,1831,9,10,111,366,482,1013,284,402,311,341,79,0,10319,5,3,21,2,1,2,0,4,1,4,24,0,106,2,5,5,2,2,33,5,4,27,8,138,10,706,71,6608,51,11741,12733,12010,264,285,128,350,31,15,39,41,1929,1,0,9,72,3216,23645,12539,24058,6746,3311,278,0,182541,0,0,8,2,1,2,0,4,1,0,7,0,5459,6,115
"G060","1890","California","060","California",13906,3561,5087,12592,1417,3487,33021,2729,14830,432,2257,483,5461,960,1668,713,1373,147,23441,12827,23295,7297,5722,2517,14655,24350,206,187,2133,6123,8175,6222,1361,1522,1321,4220,128,6,3033,283,154,839,366,364,699,1923,223,664,4742,225838,52,8439,14,264,1699,329,721,7052,595,1090,19452,1750,6302,125,944,277,616,133,170,210,171,50,5303,1882,7762,2895,3830,1801,3665,3874,139,110,879,1527,1013,444,245,197,1464,880,26,3,181,170,106,573,181,324,698,2439,164,370,1131,233363,52,830,44,139,18,3,5,94,8,22,203,28,185,25,196,74,615,16,660,179,254,27,105,22,102,17,17,4,52,625,2,1,7,125,361,349,176,140,178,619,9,1,109,3,3,28,35,3,12,87,0,5,83,16642,15,1143,2,8
"G080","1890","Colorado","080","Colorado",2775,960,1961,3733,410,1502,16317,1494,14187,277,1232,163,3207,1165,1288,245,1132,99,18961,10959,20991,4621,4070,1154,15229,17877,119,82,4057,10358,5005,2777,561,610,559,1623,212,2,1149,93,236,51512,8845,49,561,109,60,34,481,736,3,6239,2,65,409,112,415,1323,157,382,7596,794,5748,57,511,90,296,112,61,46,84,23,4724,1538,6960,2193,2942,536,4072,3435,58,50,1595,2585,569,258,67,110,253,295,31,2,85,72,245,27147,420,33,556,100,31,26,52,359,2,161,13,23,8,0,2,43,1,5,51,11,70,47,72,18,176,13,183,66,285,16,121,99,245,30,39,262,707,640,34,0,9,322,475,255,342,152,98,117,27,0,81,3,9,827,66,3,7,1,0,0,8,60,0,138,0,2
"G090","1890","Connecticut","090","Connecticut",2566,1973,3105,17517,5827,280694,31340,3264,2553,135,414,144,605,49,208,111,206,94,1220,228,794,436,287,124,219,189,14,3,62,86,142,63,79,35,95,68,4,1,14,3,3,38,5,3,3,5,0,8,19,168,3,1952,12,45,456,471,1058,7898,1659,161052,13895,2113,1526,37,149,58,123,11,24,45,55,17,358,59,299,175,142,46,66,79,11,3,22,34,40,32,12,13,55,23,0,0,4,3,0,11,10,0,2,6,0,13,6,106,0,726,21,24,15,5,31,395,103,7058,1064,233,152,57,316,158,1608,51,448,107,97,33,13,5,2,1,2,0,2,10,0,0,2,0,23,19,27,8,42,101,2,0,3,0,0,0,2,0,0,0,0,7,0,4,0,167,1,0
"G100","1890","Delaware","100","Delaware",195,245,76,179,68,155,1103,1903,9527,84639,9412,88,592,27,117,81,24,10,214,68,78,41,16,13,18,45,2,2,6,8,38,10,2,6,7,4,0,0,1,0,0,1,2,2,1,0,1,7,0,17,0,298,2,4,24,72,14,73,22,48,521,304,2657,12852,656,36,60,9,7,8,8,2,61,12,36,24,13,5,2,14,1,2,0,9,8,4,1,0,7,3,0,0,0,2,0,2,0,0,0,0,0,1,0,11,0,17,6,1,3,30,0,6,3,9,48,140,659,22426,3967,27,733,13,47,46,12,2,7,1,3,1,0,1,0,4,0,0,0,0,5,9,3,3,4,1,4,0,1,0,0,0,0,0,0,0,0,2,0,2,0,140,0,0
"G110","1890","District Of Columbia","110","District of Columbia",858,543,510,1717,202,714,5730,1129,5638,426,14375,51705,11970,514,618,399,361,86,2434,972,924,497,225,176,375,447,21,9,49,155,553,524,207,197,193,187,17,0,70,25,10,40,15,11,14,2,13,51,24,166,0,1185,4,22,57,20,50,297,35,121,2043,215,1219,40,2376,19238,1211,112,38,64,41,24,340,87,191,134,97,54,33,105,3,6,17,27,64,56,27,14,57,29,4,0,14,0,6,2,6,1,6,4,3,71,4,75,0,124,4,3,18,2,5,99,38,55,328,90,406,48,15015,31696,24003,163,920,391,320,51,158,52,40,22,3,3,6,35,0,0,5,8,120,154,166,139,116,36,6,0,14,1,0,3,1,1,0,0,0,135,0,15,0,555,2,0
"G120","1890","Florida","120","Florida",803,416,486,1382,161,786,3617,589,1697,71,495,74,1494,138,3128,6984,22230,122069,2062,1204,1315,635,305,151,481,679,13,9,75,330,1871,1475,10058,1351,554,571,6,0,242,9,4,21,3,3,1,12,0,13,16,49,1,847,1,11,85,28,28,264,29,104,1061,128,405,20,117,18,107,14,115,282,361,9939,323,138,297,164,131,91,112,114,7,4,27,57,116,64,342,57,337,92,0,0,14,2,0,4,5,1,1,0,0,2,0,19,1,135,6,5,11,7,3,32,7,12,65,14,74,8,277,32,2154,14,3511,10781,13981,122170,54,17,21,3,0,2,1,41,0,0,0,3,162,293,5705,345,246,32,2,0,19,0,0,0,2,0,2,0,0,3,1,2,0,1608,1,1
"G130","1890","Georgia","130","Georgia",348,150,268,613,131,412,1827,461,935,80,600,103,3103,74,15641,28232,858819,3866,1212,485,480,277,102,65,136,277,14,2,36,76,1148,8469,12486,902,435,729,17,2,480,5,0,33,5,3,0,0,3,5,7,56,4,3161,1,6,34,21,28,158,58,64,1076,112,358,16,127,34,171,7,254,963,14415,186,263,102,121,81,41,18,39,54,1,0,2,15,113,257,245,49,88,28,0,0,13,0,1,3,0,0,1,1,1,3,3,24,0,29,3,2,10,0,0,42,2,13,38,14,50,15,532,74,7303,31,15300,20777,798747,3198,42,21,12,8,3,4,0,46,0,0,1,6,238,1056,6720,625,144,79,8,1,37,0,0,0,1,0,1,0,1,0,0,4,0,3546,1,0
"G160","1890","Idaho","160","Idaho",556,98,234,289,34,143,1672,135,1416,22,95,51,588,161,373,51,140,5,1995,1522,2650,606,729,377,2420,3505,74,30,441,1415,811,635,114,115,178,446,42,0,679,241,112,271,14,25,4204,235,11521,715,1876,802,0,528,2,7,106,22,56,159,16,42,899,75,563,6,63,15,66,26,10,6,10,5,425,150,709,303,618,533,514,392,52,32,189,232,73,21,15,14,244,40,1,0,27,104,146,98,13,16,4797,175,8154,87,296,495,1,29,3,11,1,0,0,1,0,0,3,1,7,0,3,3,12,0,9,3,7,0,6,3,4,5,1,2,4,12,2,0,1,2,15,7,6,5,3,1,1,0,2,6,2,1,0,1,27,3,144,18,17,11,0,13,0,0
"G170","1890","Illinois","170","Illinois",5742,4693,10117,13623,1315,6051,76560,9137,60928,1109,8534,589,17448,3320,5642,1014,1177,163,104400,81810,1291464,12862,13928,2082,16440,23104,310,250,2048,6362,44488,24393,1791,1256,967,1267,81,11,1782,139,34,472,68,20,50,75,23,97,156,945,4,21971,144,237,693,321,1226,4694,482,1577,33291,2854,15362,306,2304,533,1388,402,202,238,191,60,20327,13395,881387,8055,17752,2028,7810,12734,224,125,738,1493,3086,1005,277,348,1201,413,24,6,211,66,30,264,39,9,59,34,9,48,53,578,3,4672,86,91,10,5,11,76,14,26,369,53,433,14,505,187,3037,85,706,379,556,61,1319,1144,23437,404,231,33,272,5146,3,2,26,106,7241,5406,945,1363,646,132,30,4,350,3,0,8,7,1,1,0,1,10,1,22,0,1649,0,37
