GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1959","Alabama","010",,"Alabama",89
"G040","1959","Arizona","040",,"Arizona",49
"G050","1959","Arkansas","050",,"Arkansas",109
"G060","1959","California","060",,"California",353
"G080","1959","Colorado","080",,"Colorado",53
"G090","1959","Connecticut","090",,"Connecticut",430
"G100","1959","Delaware","100",,"Delaware",236
"G120","1959","Florida","120",,"Florida",218
"G130","1959","Georgia","130",,"Georgia",97
"G160","1959","Idaho","160",,"Idaho",112
"G170","1959","Illinois","170",,"Illinois",320
"G180","1959","Indiana","180",,"Indiana",266
"G190","1959","Iowa","190",,"Iowa",254
"G200","1959","Kansas","200",,"Kansas",100
"G210","1959","Kentucky","210",,"Kentucky",135
"G220","1959","Louisiana","220",,"Louisianna",171
"G230","1959","Maine","230",,"Maine",83
"G240","1959","Maryland","240",,"Maryland",284
"G250","1959","Massachusetts","250",,"Massachusetts",310
"G260","1959","Michigan","260",,"Michigan",190
"G270","1959","Minnesota","270",,"Minnesota",154
"G280","1959","Mississippi","280",,"Mississippi",106
"G290","1959","Missouri","290",,"Missouri",111
"G300","1959","Montana","300",,"Montana",35
"G310","1959","Nebraska","310",,"Nebraska",89
"G320","1959","Nevada","320",,"Nevada",31
"G330","1959","New Hampshire","330",,"New Hampshire",105
"G340","1959","New Jersey","340",,"New Jersey",539
"G350","1959","New Mexico","350",,"New Mexico",23
"G360","1959","New York","360",,"New York",145
"G370","1959","North Carolina","370",,"North Carolina",186
"G380","1959","North Dakota","380",,"North Dakota",52
"G390","1959","Ohio","390",,"Ohio",245
"G400","1959","Oklahoma","400",,"Oklahoma",84
"G410","1959","Oregon","410",,"Oregon",87
"G420","1959","Pennsylvania","420",,"Pennsylvania",184
"G440","1959","Rhode Island","440",,"Rhode Island",418
"G450","1959","South Carolina","450",,"South Carolina",134
"G460","1959","South Dakota","460",,"South Dakota",51
"G470","1959","Tennessee","470",,"Tennessee",130
"G480","1959","Texas","480",,"Texas",82
"G490","1959","Utah","490",,"Utah",60
"G500","1959","Vermont","500",,"Vermont",81
"G510","1959","Virginia","510",,"Virginia",139
"G530","1959","Washington","530",,"Washington",131
"G540","1959","West Virginia","540",,"West Virginia",74
"G550","1959","Wisconsin","550",,"Wisconsin",132
"G560","1959","Wyoming","560",,"Wyoming",26
